"posCode	x	y	z	wx	wy	wz	AreaFactor	NumberFactor	wx/wz	wy/wz	SymmetricNumber	color	colorcode"
-1,-1_-1,-3_-1,-5	-0.024861378658016228	-0.1718441325084666	0.9846318963103186	-0.027677759216849115	-0.16924858489045722	0.985092222280464	0.0012760047491944821	21	-0.028096617342867444	-0.17180988851850942	4.0	2	0xB1FA2B
-1,-1_-1,-3_-2,-4	-0.06520750241518404	-0.13232670415925074	0.9887257814302673	-0.059912429966121915	-0.13760863451892408	0.9884922200747642	0.005630885035992377	24	-0.060609915535390316	-0.1392106399264489	1.0	10	0x4CAB1C
-1,-1_-1,-3_-2,-5	-0.06469300239135066	-0.17137032070943262	0.9828252067758388	-0.05962147326029316	-0.1690039950330699	0.9836745786361617	0.0026470088650315505	18	-0.06061097293269155	-0.17180884685196338	2.0	4	0xAE5524
-1,-1_-2,-1_-2,-1	-0.07409481509123404	-0.02519502414849333	0.9967491288686136	-0.07163492878440972	-0.028012610879091827	0.9969426698763376	0.0013389692329240442	42	-0.0718546120543676	-0.028098517322532254	4.0	9	0xEC4A13
-1,-1_-2,-1_-2,-2	-0.07391491522899682	-0.06567948077808457	0.9948386882193183	-0.07152937049582808	-0.060332930360138884	0.9954734881603949	0.0027769976589188026	36	-0.07185462128982682	-0.06060726988483875	2.0	11	0xCC4719
-1,-1_-2,-1_-3,-1	-0.09952672331522265	-0.025195024148493103	0.9944501764539796	-0.09936685749227925	-0.027945514464400818	0.9945234366560788	0.005764515120047808	35	-0.09991404307814397	-0.028099402622790877	2.0	6	0xF2CEA5
-1,-1_-2,-1_-3,-2	-0.09925806105450188	-0.06551091034922742	0.9925615765341566	-0.0992210000896023	-0.060187044394154635	0.9930649540374205	0.011955511037849623	30	-0.09991390763132647	-0.06060735921598808	1.0	12	0x286C61
-1,-1_-2,-1_-4,-1	-0.1245630628480101	-0.025195024148493332	0.9917098045823248	-0.12695390043518762	-0.02785868853546362	0.9914233886046485	0.0013095258137627804	28	-0.12805215399836933	-0.02809968864530477	4.0	1	0x4301D5
-1,-1_-2,-1_-4,-2	-0.12432667280724616	-0.06539246775658017	0.9898277834135237	-0.12676829803724918	-0.06000250704237691	0.9899783899812106	0.0027156405635119516	24	-0.12805158104476927	-0.060609915983636506	2.0	2	0xB1FA2B
-1,-1_-2,-2_-2,-2	-0.07386359264558641	-0.07406343400508372	0.9943313240499235	-0.07147916837920215	-0.07147805142279118	0.9947833718493275	0.001327606953943762	36	-0.07185400399920293	-0.07185288118549032	4.0	13	0x2667FE
-1,-1_-2,-2_-2,-3	-0.07369033428392395	-0.09899649864886187	0.9920884598486597	-0.07130738274738009	-0.09915056995066925	0.9923798431881482	0.005715941165460702	30	-0.07185492857079395	-0.09991191440581386	2.0	14	0xD7D52B
-1,-1_-2,-2_-2,-4	-0.07354682078758627	-0.12397136041308825	0.989375419533181	-0.07108603217500252	-0.12668225064295485	0.9892994995737769	0.0012984824631305297	24	-0.07185491573141273	-0.1280524762193186	4.0	15	0x30EEF3
-1,-1_-2,-2_-3,-2	-0.0991788462978902	-0.0738950389182081	0.9920579973834467	-0.09915242211422592	-0.07130586933806043	0.9923797534764593	0.00571490400942088	30	-0.09991378982378439	-0.07185341003609251	2.0	16	0x621955
-1,-1_-2,-2_-3,-3	-0.09902362442837893	-0.09882608829380345	0.9898190467239145	-0.09891432729249704	-0.09891280704452508	0.9899935449811977	0.02460863651206007	25	-0.09991411337371463	-0.09991257775969001	1.0	17	0x72C291
