#BID	CID	GID	Eff%	Sta	UCL%	UCH%
10	4	148	0.995363386	647	0.039314057	0.004636614
10	5	149	0.993788958	644	0.03940552	0.006211042
10	6	150	0.993333343	600	0.040824829	0.006666657
10	7	151	0.98876409	534	0.043274232	0.01123591
10	8	152	0.980735716	571	0.041848698	0.019264284
10	9	153	0.974789714	595	0.040996003	0.025210286
10	10	154	0.985123912	605	0.040655781	0.014876088
10	11	155	0.976076356	627	0.039936153	0.023923644
10	12	156	0.980645313	620	0.040160966	0.019354687
10	13	157	0.986626976	673	0.038547167	0.013373024
10	14	158	0.979451866	584	0.041380294	0.020548134
10	15	159	0.976228252	631	0.039809371	0.023771748
14	0	208	0.978102	274	0.0604122	0.0218978
14	1	209	1	244	0.0640184	0
14	2	210	0.992126	254	0.0627456	0.00787401
14	3	211	1	236	0.0650945	0
14	4	212	1	260	0.0620174	0
14	5	213	0.986046	215	0.0681994	0.0139535
14	6	214	0.977778	270	0.0608581	0.0222222
14	7	215	0.984925	199	0.0708881	0.0150754
14	8	216	0.984925	199	0.0708881	0.0150754
14	9	217	0.97561	246	0.0637577	0.0243902
14	10	218	0.953975	239	0.0646846	0.0460251
14	11	219	1	200	0.0707107	0
14	12	220	0.987854	247	0.0636285	0.0121458
14	13	221	0.988235	255	0.0626224	0.0117647
14	14	222	0.967033	273	0.0605228	0.032967
14	15	223	0.987854	247	0.0636285	0.0121458
